Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,18.950001,19.000000,18.000000,18.000000,18.000000,168955038
2020-12-22,17.400000,17.600000,17.100000,17.299999,17.299999,284913909
2020-12-23,17.500000,17.850000,17.049999,17.600000,17.600000,216066991
2020-12-24,17.900000,18.000000,17.299999,17.549999,17.549999,124638448
2020-12-28,17.799999,18.200001,17.549999,17.799999,17.799999,149082382
2020-12-29,17.850000,18.000000,17.600000,17.750000,17.750000,103589664
2020-12-30,17.700001,17.850000,17.450001,17.750000,17.750000,79131606
2020-12-31,17.750000,18.150000,17.650000,17.850000,17.850000,125361787
2021-01-01,17.850000,18.450001,17.799999,18.000000,18.000000,146080241
2021-01-04,18.400000,18.600000,17.900000,18.000000,18.000000,214860840
2021-01-05,17.950001,18.250000,17.750000,18.000000,18.000000,172429356
2021-01-06,18.200001,18.400000,17.799999,18.000000,18.000000,196901365
2021-01-07,18.200001,18.350000,17.850000,18.000000,18.000000,157589035
2021-01-08,18.200001,18.299999,17.799999,18.049999,18.049999,183783931
2021-01-11,18.299999,18.549999,17.850000,17.950001,17.950001,189373243
2021-01-12,17.850000,18.500000,17.600000,18.049999,18.049999,320993651
2021-01-13,18.150000,18.299999,17.150000,17.799999,17.799999,280118603
2021-01-14,17.850000,18.100000,17.600000,17.850000,17.850000,141291865
2021-01-15,17.799999,17.850000,17.250000,17.600000,17.600000,163516334
2021-01-18,18.100000,18.100000,17.450001,17.700001,17.700001,210883697
2021-01-19,17.850000,18.000000,17.600000,17.900000,17.900000,128056245
2021-01-20,17.950001,18.000000,17.400000,17.650000,17.650000,196996362
2021-01-21,17.700001,17.799999,17.150000,17.250000,17.250000,229436846
2021-01-22,17.350000,17.500000,16.750000,17.000000,17.000000,220887609
2021-01-25,17.400000,17.500000,16.250000,16.350000,16.350000,326357534
2021-01-27,16.200001,16.200001,15.700000,15.750000,15.750000,224836150
2021-01-28,15.200000,15.400000,15.000000,15.050000,15.050000,312839641
2021-01-29,15.100000,15.800000,15.000000,15.750000,15.750000,183110147
2021-02-01,16.000000,16.500000,15.450000,16.400000,16.400000,186599301
2021-02-02,16.549999,16.850000,16.100000,16.549999,16.549999,180587323
2021-02-03,16.650000,16.650000,16.200001,16.250000,16.250000,88995339
2021-02-04,16.250000,16.549999,16.049999,16.200001,16.200001,129199434
2021-02-05,16.850000,17.450001,16.750000,16.900000,16.900000,235552294
2021-02-08,17.150000,17.299999,16.900000,17.049999,17.049999,132788785
2021-02-09,17.100000,17.100000,16.600000,16.650000,16.650000,94882109
2021-02-10,16.650000,16.700001,16.299999,16.400000,16.400000,80183508
2021-02-11,16.400000,16.700001,16.299999,16.500000,16.500000,58079419
2021-02-12,16.500000,16.549999,16.350000,16.400000,16.400000,47492701
2021-02-15,16.400000,16.600000,16.150000,16.250000,16.250000,64057989
2021-02-16,16.250000,16.350000,15.950000,16.049999,16.049999,77478438
2021-02-17,16.049999,16.100000,15.750000,15.900000,15.900000,87586901
2021-02-18,15.850000,16.549999,15.650000,16.150000,16.150000,172725915
2021-02-19,16.150000,16.299999,15.850000,15.950000,15.950000,94798271
2021-02-22,16.000000,16.000000,15.550000,15.600000,15.600000,75367244
2021-02-23,15.600000,15.750000,15.500000,15.600000,15.600000,65178836
2021-02-24,15.800000,16.400000,15.700000,16.100000,16.100000,100496229
2021-02-25,16.100000,16.350000,16.049999,16.100000,16.100000,69277131
2021-02-26,15.800000,15.950000,15.650000,15.750000,15.750000,115922281
2021-03-01,15.950000,16.900000,15.750000,16.299999,16.299999,182912199
2021-03-02,16.500000,16.650000,16.250000,16.299999,16.299999,82198118
2021-03-03,16.400000,16.549999,16.250000,16.350000,16.350000,95262247
2021-03-04,16.250000,16.750000,16.049999,16.600000,16.600000,147502225
2021-03-05,16.600000,16.900000,16.299999,16.350000,16.350000,102085430
2021-03-08,16.549999,16.650000,16.250000,16.250000,16.250000,67424765
2021-03-09,16.250000,16.400000,15.950000,16.049999,16.049999,77245066
2021-03-10,16.100000,16.250000,16.000000,16.049999,16.049999,44844215
2021-03-12,16.000000,16.250000,15.850000,15.900000,15.900000,81941288
2021-03-15,15.700000,15.750000,15.450000,15.650000,15.650000,80249970
2021-03-16,15.650000,15.650000,15.400000,15.450000,15.450000,53393224
2021-03-17,15.450000,15.550000,15.050000,15.100000,15.100000,81186413
2021-03-18,15.200000,15.300000,14.800000,14.900000,14.900000,92968773
2021-03-19,14.850000,15.050000,14.300000,14.950000,14.950000,133410477
2021-03-22,14.950000,15.100000,14.750000,14.850000,14.850000,62159949
2021-03-23,14.900000,15.050000,14.750000,14.900000,14.900000,61085946
2021-03-24,14.850000,15.000000,14.600000,14.650000,14.650000,59903730
2021-03-25,14.650000,14.700000,14.100000,14.200000,14.200000,110609689
2021-03-26,14.250000,14.500000,14.000000,14.050000,14.050000,106766399
2021-03-30,14.150000,16.850000,14.000000,16.299999,16.299999,336230897
2021-03-31,16.150000,16.250000,15.400000,15.600000,15.600000,208381534
2021-04-01,15.650000,15.850000,15.350000,15.700000,15.700000,93196660
2021-04-05,15.850000,15.950000,15.200000,15.500000,15.500000,83064018
2021-04-06,15.650000,15.850000,15.500000,15.600000,15.600000,59808985
2021-04-07,15.600000,15.700000,15.400000,15.600000,15.600000,50497122
2021-04-08,15.650000,15.700000,15.500000,15.550000,15.550000,45104506
2021-04-09,15.550000,15.650000,15.400000,15.450000,15.450000,40565587
2021-04-12,15.200000,15.250000,14.400000,14.450000,14.450000,123708161
